역이름,역지역,호선,번호,개방서,개방,개방자,관리번,인허가,영업상,영업,상세영,상세,재개업,소재지,소재��,소재��_1,소재��_2,도로명�,도로��,사업장�,최종수�,데이터�,데이��,업태구�,점포구�,학교ID,학교명,학교급�,설립일�,설립형�,본교분�,운영상�,소재��_3,소재��_4,시도교�,시도��,교육지�,교육��,생성일�,변경일�,데이��_1,id_num,공원수,x,y
구로디지털단지역,수도권,02호선,"2533",대규모점포,08_25_01_P,"3160000","2007316011707500007","19990727","1",영업/정상,"1",정상영업,,"2009-1001,1051",9927.719999999999345,152050.000000000000000,서울특별시 구로구 구로동 188번지 26호,서울특별시 구로구 디지털로32길 43 (구로동),,(주)이마트 구로점,20200421204857,U,2020/04/23 02:40:00.000,대형마트,대규모점포,B000008169,영서중학교,중학교,1980/03/03,공립,본교,운영,서울특별시 구로구 구로동 145-20,서울특별시 구로구 도림로20길 35,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"21",0.000000000000000,126.8972130620,37.4880200772
구로디지털단지역,수도권,02호선,"2533",대규모점포,08_25_01_P,"3160000","2007316011707500007","19990727","1",영업/정상,"1",정상영업,,"2009-1001,1051",9927.719999999999345,152050.000000000000000,서울특별시 구로구 구로동 188번지 26호,서울특별시 구로구 디지털로32길 43 (구로동),,(주)이마트 구로점,20200421204857,U,2020/04/23 02:40:00.000,대형마트,대규모점포,B000001967,서울영서초등학교,초등학교,1979/09/28,공립,본교,운영,서울특별시 구로구 구로동 165-1,서울특별시 구로구 도림로20길 57,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"22",0.000000000000000,126.8971873367,37.4879368991
신도림역,수도권,02호선,"2521",대규모점포,08_25_01_P,"3160000","2007316011707500001","20070813","1",영업/정상,"1",정상영업,,"0226182080",11914.000000000000000,,서울특별시 구로구 신도림동 337번지 신도림1차푸르지오,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 (신도림동)",8208.000000000000000,홈플러스(주) 신도림점,20210611103206,U,2021/06/13 02:40:00.000,대형마트,대규모점포,B000001954,서울미래초등학교,초등학교,2002/03/01,공립,본교,운영,서울특별시 구로구 구로동 3-13,서울특별시 구로구 새말로 73,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"23",5.000000000000000,126.8884796178,37.5059982872
신도림역,수도권,02호선,"2521",대규모점포,08_25_01_P,"3160000","2007316011707500001","20070813","1",영업/정상,"1",정상영업,,"0226182080",11914.000000000000000,,서울특별시 구로구 신도림동 337번지 신도림1차푸르지오,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 (신도림동)",8208.000000000000000,홈플러스(주) 신도림점,20210611103206,U,2021/06/13 02:40:00.000,대형마트,대규모점포,B000008160,신도림중학교,중학교,1984/05/06,공립,본교,운영,서울특별시 구로구 신도림동 311-1,서울특별시 구로구 경인로63길 74,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"24",8.000000000000000,126.8864365117,37.5102878328
신도림역,수도권,02호선,"2528",대규모점포,08_25_01_P,"3160000","2007316011707500003","20070927","1",영업/정상,"1",정상영업,,380-5234,7337.000000000000000,,서울특별시 구로구 구로동 3번지 25호 외 31필지,"서울특별시 구로구 새말로 97 (구로동,외 31필지)",,(주) 이마트 신도림점,20200421205401,U,2020/04/23 02:40:00.000,대형마트,대규모점포,B000001954,서울미래초등학교,초등학교,2002/03/01,공립,본교,운영,서울특별시 구로구 구로동 3-13,서울특별시 구로구 새말로 73,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"25",5.000000000000000,126.8886533863,37.5058458426
신도림역,수도권,02호선,"2528",대규모점포,08_25_01_P,"3160000","2007316011707500003","20070927","1",영업/정상,"1",정상영업,,380-5234,7337.000000000000000,,서울특별시 구로구 구로동 3번지 25호 외 31필지,"서울특별시 구로구 새말로 97 (구로동,외 31필지)",,(주) 이마트 신도림점,20200421205401,U,2020/04/23 02:40:00.000,대형마트,대규모점포,B000008160,신도림중학교,중학교,1984/05/06,공립,본교,운영,서울특별시 구로구 신도림동 311-1,서울특별시 구로구 경인로63길 74,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"26",6.000000000000000,126.8863615745,37.5098136352
문래역,수도권,02호선,"911",대규모점포,08_25_01_P,"3180000","2001318007607500032","20011203","1",영업/정상,"1",정상영업,,"0221658101",35687.739999999997963,150991.000000000000000,서울특별시 영등포구 문래동3가 55번지 3호,서울특별시 영등포구  당산로  42 (문래동3가),150991.000000000000000,홈플러스(주) 영등포점,20210607191902,U,2021/06/09 02:40:00.000,대형마트,대규모점포,B000008187,양화중학교,중학교,1980/12/27,공립,본교,운영,서울특별시 영등포구 문래동3가 48,서울특별시 영등포구 당산로 56,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"27",5.000000000000000,126.8959945000,37.5196596000
문래역,수도권,02호선,"911",대규모점포,08_25_01_P,"3180000","2001318007607500032","20011203","1",영업/정상,"1",정상영업,,"0221658101",35687.739999999997963,150991.000000000000000,서울특별시 영등포구 문래동3가 55번지 3호,서울특별시 영등포구  당산로  42 (문래동3가),150991.000000000000000,홈플러스(주) 영등포점,20210607191902,U,2021/06/09 02:40:00.000,대형마트,대규모점포,B000002009,서울문래초등학교,초등학교,1985/10/29,공립,본교,운영,서울특별시 영등포구 문래동3가 77-7,서울특별시 영등포구 문래로 104,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"28",4.000000000000000,126.8936057000,37.5191403800
문래역,수도권,02호선,"911",대규모점포,08_25_01_P,"3180000","2001318007607500032","20011203","1",영업/정상,"1",정상영업,,"0221658101",35687.739999999997963,150991.000000000000000,서울특별시 영등포구 문래동3가 55번지 3호,서울특별시 영등포구  당산로  42 (문래동3가),150991.000000000000000,홈플러스(주) 영등포점,20210607191902,U,2021/06/09 02:40:00.000,대형마트,대규모점포,B000002001,서울영등포초등학교,초등학교,1945/11/01,공립,본교,운영,서울특별시 영등포구 문래동1가 35-2,서울특별시 영등포구 경인로 756,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"29",6.000000000000000,126.8973543218,37.5142919424
시청역,수도권,02호선,"1548",대규모점포,08_25_01_P,"3000000","2011300012907500003","20111220","1",영업/정상,"1",정상영업,,"027379994",432.899999999999977,110061.000000000000000,서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,"서울특별시  새문안로 91, 1층 (고려빌딩)",110796.000000000000000,홈플러스(주)익스프레스 광화문점,20210615181710,U,2021/06/17 02:40:00.000,대형마트,준대규모점포,B000013449,이화여자고등학교,고등학교,1886/05/31,사립,본교,운영,서울특별시 중구 정동 32-1,서울특별시중구정동길26,"7010000",서울특별시교육청,"7061000",서울특별시중부교육지원청,2013/11/29,2022/07/01,2022/09/21,"30",17.000000000000000,126.9727355244,37.5668539361
