x,y,학교,마트
127.0723241706,37.5371475736,1,1
127.0697873425,37.5361581172,1,1
127.0713838006,37.5364855222,1,1
127.0998950575,37.5183705685,1,1
127.1003873064,37.5174889474,1,1
127.1003873064,37.5174889474,1,1
127.1012605366,37.5170828449,1,1
127.1005750023,37.5185444719,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1003873064,37.5174889474,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1003873064,37.5174889474,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1220341054,37.4916802059,1,1
127.1220343998,37.4902519379,1,1
127.122160885,37.491297036,1,1
127.1219011645,37.4901598943,1,1
127.1220343998,37.4902519379,1,1
127.1222810011,37.4901936903,1,1
127.1219011645,37.4901598943,1,1
127.1221662817,37.4900287912,1,1
127.1272448261,37.4336198438,1,1
127.130427188,37.4339539586,1,1
127.130427188,37.4339539586,1,1
127.0054119398,37.4896444564,1,1
127.0414065538,37.5619099911,1,1
127.0402432468,37.5627500404,1,1
