역이름,역지역,lat,long,호선
임진강역,수도권,37.8882642054943,126.747060302928,경의선
광운대역,수도권,37.6238337612372,127.061690626596,경춘선
청량리역,수도권,37.5807185198462,127.048499848096,경춘선
회기역,수도권,37.5897782042758,127.058039297256,경춘선
상봉역,수도권,37.5966989669088,127.085742145107,경춘선
망우역,수도권,37.5992888287112,127.092358315354,경춘선
신내역,수도권,37.612487415788,127.104266904089,경춘선
갈매역,수도권,37.6340653389188,127.114742608717,경춘선
별내역,수도권,37.6420535569769,127.126969124631,경춘선
퇴계원역,수도권,37.6482513637596,127.143523511236,경춘선
사릉역,수도권,37.6511071806435,127.176912564902,경춘선
금곡역,수도권,37.6373443631905,127.20751551717,경춘선
평내호평역,수도권,37.6532030105113,127.244434400427,경춘선
천마산역,수도권,37.6592205029108,127.285049073287,경춘선
마석역,수도권,37.6527742200656,127.311677414031,경춘선
대성리역,수도권,37.6839829102845,127.379692613895,경춘선
청평역,수도권,37.7355020498164,127.426604627072,경춘선
상천역,수도권,37.7701748704458,127.454497500058,경춘선
가평역,수도권,37.814505656393,127.510734782716,경춘선
굴봉산역,수도권,37.8320589844517,127.55776980717,경춘선
백양리역,수도권,37.830788191587,127.589315872268,경춘선
강촌역,수도권,37.8057074126255,127.634128739716,경춘선
디지털미디어시티역,수도권,37.5760020219691,126.901263083061,경의선
김유정역,수도권,37.8184383066528,127.71430569321,경춘선
남춘천역,수도권,37.8640396913213,127.723814225754,경춘선
춘천역,수도권,37.8844983510399,127.716693906996,경춘선
봉명역,수도권,36.8014198381628,127.136033629949,01호선
쌍용역,수도권,36.7937221873478,127.12136482043,01호선
아산역,수도권,36.7946033931316,127.104357916141,01호선
배방역,수도권,36.7776965034054,127.052783609867,01호선
온양온천역,수도권,36.7805376748432,127.003181472643,01호선
신창역,수도권,36.769624275712,126.95138861374,01호선
선바위역,수도권,37.4517407809454,127.002215131762,04호선
경마공원역,수도권,37.4439557812032,127.007819960946,04호선
대공원역,수도권,37.4360449337415,127.006734401918,04호선
